57577,5578,10,73
45703,7239,2,70
13319,1442,7,84
12107,4806,6,87
50821,1303,2,52
90273,8471,5,41
72638,2390,3,95
86306,4597,4,77
50505,4657,2,46
40932,3591,4,50
25553,2738,6,100
24378,1355,9,87
86266,1177,5,92
73754,2093,2,61
50831,47,2,20
98102,8425,6,59
85813,1394,3,14
7377,1005,6,54
75642,868,6,73
84289,8896,4,38
49608,4321,1,4
84169,6359,9,60
42568,8482,9,73
18637,6026,9,12
98819,9512,3,44
91298,7880,8,46
16011,1540,4,13
35596,4480,6,61
99829,648,9,97
55305,1094,1,73
97080,4894,8,2
32784,3086,10,8
81883,5594,8,42
91655,3164,1,73
8749,5337,6,80
19757,6905,7,18
57402,8625,10,54
53327,4973,4,21
83125,3457,4,35
95311,2489,8,12
48949,1255,5,96
3915,5933,6,100
73486,1812,10,17
14370,6409,8,21
41250,5881,2,67
21449,9091,4,8
16498,3455,10,67
59206,1556,1,57
11006,3753,3,17
59567,8674,10,31
12858,8254,2,32
29748,5139,5,24
29993,7415,1,68
72960,5182,7,56
14855,4504,6,56
70393,6793,3,86
56660,7764,9,4
6385,755,7,15
33667,1612,10,11
12948,2872,9,45
40958,3308,10,70
47222,4889,5,1
92365,4980,5,92
47607,1797,10,82
26054,8838,2,54
12682,5628,8,37
2938,573,7,60
25855,3327,10,23
51555,5810,1,89
94599,6304,9,93
78143,8505,4,75
32633,693,5,43
90422,7431,3,84
41834,5529,9,57
93972,185,7,27
30970,9566,4,11
88104,9344,1,96
75466,8271,6,32
28923,2194,4,18
39746,4938,7,16
3672,4025,10,94
3485,8328,5,16
79143,5347,5,91
54934,2047,10,71
29908,4163,2,26
24751,9624,7,24
57120,2200,3,44
47647,9926,1,47
38833,9704,6,91
51976,1371,4,3
49643,4934,2,31
53835,6348,2,47
57021,5284,4,73
49409,5354,9,3
74446,2379,3,41
35463,2638,8,13
31385,2906,5,13
97163,8627,7,40
95674,8762,2,27
85599,5059,8,88
47979,3799,6,8
13156,2443,3,89
37194,600,7,25
90363,5062,6,61
30969,767,2,82
53663,3703,5,82
87696,815,10,7
30718,4116,5,2
26106,2889,1,66
8182,7008,4,19
28151,5892,4,5
14949,2648,8,12
10894,3664,5,94
15735,235,8,30
97356,5390,5,34
63906,5247,6,23
99669,8592,7,79
11697,8336,7,26
75999,2718,3,32
8891,7166,10,30
1157,1042,4,93
22114,7242,3,4
45357,398,9,16
45612,9720,7,88
20093,9821,1,95
44006,3733,1,67
31720,4912,8,91
25852,9507,6,62
9918,626,9,53
2182,4286,3,100
6263,347,10,96
99687,6147,8,65
43872,1756,2,37
74306,7195,8,7
49760,9852,3,96
58929,5543,6,79
84202,1305,8,92
81957,5395,9,35
69005,9695,4,30
27050,1512,9,39
8419,2192,6,14
10156,8367,10,69
17106,8481,10,90
80524,2249,6,45
35021,5369,2,84
79194,1864,6,75
22325,2493,4,51
95797,8912,10,83
21529,4042,7,73
53571,6354,7,27
25615,9767,4,44
80330,9084,8,85
14397,7116,10,62
4507,6829,10,90
87480,9695,9,30
93618,3783,7,49
9225,1682,7,25
98243,213,3,12
9831,5389,3,29
41907,6243,5,93
85153,3418,2,88
69463,7143,2,57
25599,8861,5,17
58164,5433,1,58
3725,9835,9,71
37023,2651,4,49
27246,4896,2,13
38936,6901,8,28
5235,8290,3,76
86936,6584,5,10
73847,5928,6,87
26490,726,1,73
37038,3346,2,26
56006,5403,4,98
44664,2070,4,58
46834,3705,3,11
80032,3263,2,59
88289,7705,8,32
69614,6841,9,71
18700,2222,9,65
44970,8446,3,54
49569,5963,9,58
61021,4205,8,23
77928,5132,4,42
96036,5891,6,18
57359,2913,7,83
69525,1622,1,17
85914,3526,4,52
14415,832,2,61
2194,8934,8,87
71191,7152,9,34
70696,9927,6,96
66799,1070,3,15
4666,3995,3,93
78941,2716,6,34
19971,3986,8,87
84190,578,1,96
83605,248,2,31
69696,3249,6,24
56203,4586,10,35
11267,3271,8,29
3188,9860,7,67
88571,8452,5,90
73898,5193,7,63
18633,5050,6,77
66017,7838,5,96
47989,5981,6,16
31636,1701,10,94
42803,463,2,17
19688,8075,5,78
49508,321,5,35
21057,6821,7,93
89269,4615,9,32
66598,2679,7,96
59158,6590,1,66
32815,9002,3,38
46150,5716,6,25
61435,6720,7,97
30450,4974,9,79
18177,7345,8,100
99738,1202,6,7
69711,5302,6,20
59203,9523,2,25
97653,6701,3,75
50451,8938,9,89
85772,8151,8,74
21117,1891,1,37
27886,6378,7,84
2463,4525,7,87
36801,7917,5,26
78177,3417,9,5
92902,5828,7,53
86276,3282,4,56
4470,6306,6,88
48323,4112,10,21
19670,5391,5,15
39455,5797,9,56
39865,1780,1,1
79604,5748,6,66
18988,4952,3,59
62164,2213,9,72
90091,8027,3,33
80738,5167,3,80
85777,49,8,66
18663,9378,5,65
51663,6161,10,22
29027,1509,1,37
56222,6402,3,15
60017,7657,7,55
9305,296,4,26
57466,8901,6,23
16801,8404,6,9
45461,7316,2,93
20440,3646,7,63
78200,3940,9,39
32504,1888,5,57
85914,4265,10,11
51176,997,5,74
24204,8511,1,92
24594,9404,4,65
28379,1879,6,16
46462,2071,9,66
54654,5877,1,41
52710,7758,10,27
44386,7824,1,70
63704,127,9,62
3486,2263,8,44
65177,8866,3,94
33851,8942,4,56
20649,890,8,15
62914,8342,9,92
67673,1630,8,97
80140,8173,6,10
75654,6995,5,26
25780,2896,2,42
92664,3757,2,75
21258,5834,2,78
55448,582,4,76
38451,2574,5,75
75054,1665,6,20
79406,8831,9,2
4423,2452,1,4
20569,6436,6,36
40407,4298,2,30
82030,9523,7,25
90407,5436,5,35
12674,9054,9,84
50253,7084,1,92
5040,2633,2,81
65929,3523,1,12
1397,9612,10,25
22379,1958,1,16
69088,2732,3,56
80009,962,9,35
96579,3106,6,32
94886,6165,9,15
38986,4029,10,73
55672,9589,6,61
73941,7063,6,79
97457,5903,8,77
53611,1010,1,90
16590,4219,8,68
95979,1695,7,20
98357,3667,4,9
40874,2979,10,45
4053,3025,9,96
56839,863,4,33
72754,9718,10,28
25964,8107,9,17
74332,49,7,66
50161,8261,3,22
72413,5010,5,10
86028,2193,1,10
30079,4719,1,83
38459,5498,2,51
59423,6032,10,82
37616,6266,5,19
43832,2300,2,49
58445,1229,4,42
56367,2510,5,64
50912,6228,2,49
71469,5963,4,58
52292,8389,1,28
4756,5042,9,57
10137,8056,2,99
31486,6649,3,67
27531,9134,3,32
80340,3685,8,43
14676,1581,3,15
62465,5579,4,70
11833,2867,10,34
50881,2173,2,16
5052,4216,3,19
8212,3175,1,31
20587,5205,6,68
4340,5044,2,99
93251,1516,9,70
60687,2507,2,42
9097,9339,4,12
76152,5290,1,18
7458,7707,10,90
48079,4611,2,94
40295,8030,5,46
78642,2818,8,94
87325,3810,7,37
72647,2757,9,85
44817,1761,7,38
49890,7572,5,87
99558,6496,1,36
71481,4990,9,15
13886,9157,2,21
62673,3368,8,81
68728,9832,9,89
9291,9487,6,58
14807,850,1,58
12940,8967,8,51
41017,1513,4,1
53752,7499,3,78
42188,8489,6,89
15031,7064,7,80
22643,1174,3,64
2383,4790,10,98
53820,7262,10,58
2918,2987,6,25
6424,4136,9,98
83617,7893,7,30
50471,8012,2,41
52972,7326,4,56
79225,599,3,46
63323,7237,5,80
68410,7240,4,35
38015,3698,7,59
